t,input_il6,Compound_1_Obs
2400,0.1,0.262571345694131
2400,0.1,0.305800434111327
2400,0.5,0.280088938854387
2400,0.5,0.316927679563755
2400,1,0.282199319223284
2400,1,0.25095707865096
2400,2.5,0.176601402855853
2400,2.5,0.173426989903717
2400,5,0.134311531979057
2400,5,0.125767484778297
2400,10,0.228668539885763
2400,10,0.261030721842226
2400,25,0.171369234544899
2400,25,0.168246130717412
2400,50,0.228905166415696
2400,50,0.224899016796654
2400,100,0.146020591002669
2400,100,0.13721813967393
2400,500,0.110937186509951
2400,500,0.127412034076442
