t,nSOCS3RNA3_Obs,Compound_1_Obs
0,0.000345649141942969,0.260105551137149
10,0.00390024395014855,NaN
20,0.0530732691374309,NaN
25,NaN,0.371598093086763
35,0.0926137191980933,NaN
45,0.052133429761876,NaN
55,NaN,0.259226100882202
60,0.00935216430232384,NaN
75,0.00144783967096059,NaN
80,NaN,0.224548425984188
95,0.000372231491430472,NaN
100,0.000320879540733657,0.211474997204242
150,0.000286487431763531,0.243023134134959
200,NaN,0.282124834922709
250,NaN,0.28144081834585
300,NaN,0.259656990510571
350,NaN,0.287966460367777
450,NaN,0.248083828620308
