t,nSOCS3RNA3_Obs,Compound_1_Obs
0,0.000326260057534315,0.272228553903101
15,0.0837364816802535,NaN
20,NaN,0.394054431664555
35,0.292848670946851,0.418777605495019
55,0.134568224824614,0.192372967007376
75,0.0780261309741752,NaN
80,NaN,0.119341278807012
95,0.0753671463036675,NaN
100,0.0679640036178394,0.158546134607629
150,0.000600172491787325,0.135523541298188
200,0.000184916070605748,0.152098344263777
250,0.000217810118685274,0.197937991021866
300,0.000252844901679906,0.235222291470403
350,NaN,0.251753213991742
400,NaN,0.247992776099516
