t,input_il6,pJAK1_pgp130_Obs
35,0,0.000793828488077209
35,0,0.000750931838063984
35,0,0.00100523814022849
35,0,0.000806015835720158
35,0.0005,0.000781066621230122
35,0.0005,0.00073223830846647
35,0.0005,0.000924514887367185
35,0.0005,0.000904483473612773
35,0.0005,0.000831654797438491
35,0.0005,0.000939309864253747
35,0.005,0.000838599802748573
35,0.005,0.000829510233498651
35,0.005,0.00078609136027621
35,0.005,0.000805970479750988
35,0.005,0.000893418475871133
35,0.005,0.000758022140135453
35,0.05,0.000857384248188413
35,0.05,0.000958186034269485
35,0.05,0.00110491509215987
35,0.05,0.00103705487613462
35,0.05,0.000936579515153571
35,0.05,0.00103989947084936
35,0.05,0.000929115421663508
35,0.05,0.000991643980413767
35,0.1,0.00121108907035041
35,0.1,0.0011608893001915
35,0.1,0.00115354228483847
35,0.1,0.00109130278799689
35,0.1,0.00109629511259398
35,0.1,0.0011313418353033
35,0.1,0.00118865577756515
35,0.1,0.00105522925152293
35,0.5,0.00227705816854557
35,0.5,0.00238407617675228
35,0.5,0.00217676814280858
35,0.5,0.00226625722975089
35,0.5,0.00231410833238661
35,0.5,0.00225396966355285
35,1,0.00348904076018768
35,1,0.00391879076836782
35,1,0.0034850331573501
35,1,0.00349005686713455
35,1,0.00340064953750317
35,1,0.0035827308964088
35,1,0.00409923201875298
35,1,0.00403527538437149
35,2.5,0.0241567627291064
35,2.5,0.0269781123690523
35,5,0.0989136913173792
35,5,0.107556558620844
35,5,0.102425596787584
35,5,0.120270697801098
35,5,0.113471933809417
35,5,0.114709697479117
35,10,0.00697541277493581
35,10,0.0067699946357855
35,25,0.12463615519693
35,25,0.122739021174371
35,50,0.129279275334386
35,50,0.121888840056722
35,50,0.136435197693298
35,50,0.123699651811011
35,50,0.136789942400351
35,50,0.131306540689407
35,50,0.0488398530759764
35,50,0.0578654654972824
35,100,0.0146447047174559
35,100,0.0157052619429913
35,100,0.0126336139260699
35,100,0.0148362893429209
35,100,0.0146658200870824
35,100,0.0138645595949554
35,200,0.0834545765705781
35,200,0.0858037146649914
35,200,0.068667215719589
35,200,0.0788816605756663
35,200,0.0774856873360483
35,200,0.0874122470130588
35,200,0.0786947307609494
35,200,0.085175791739955
35,500,0.159153346844012
35,500,0.15212865556955
35,500,0.149755195693045
35,500,0.134050352615769
35,500,0.161068647920953
35,500,0.132248524427585
35,500,0.142376975265288
35,500,0.143929761119529
