t,nSOCS3RNA3_Obs,Compound_1_Obs
0,0.000298639874112678,0.324896806365861
10,0.00755074733691915,NaN
20,0.0648221780990477,NaN
25,NaN,0.347771422485626
35,0.149940177619227,NaN
50,0.136877646574002,NaN
55,NaN,0.304667410116299
65,0.0382276532975159,NaN
80,NaN,0.166686643827856
90,0.00181595196881834,NaN
100,0.000670290304816768,0.155464340546779
150,NaN,0.199472277107763
200,NaN,0.215873484719856
250,NaN,0.252299697919303
300,NaN,0.270700881012639
350,NaN,0.259226473037401
450,NaN,0.265389480108382
