t,pJAK1_pgp130_Obs,nSOCS3RNA3_Obs,Compound_1_Obs
0,0.000800400438320616,0.00114391330892644,0.289405645979789
8.5,NaN,0.0122454570563374,NaN
9.5,0.0926152284761346,NaN,NaN
10,NaN,NaN,0.241786442028682
20,0.117071056137352,0.185741819106561,0.387366804091357
25,NaN,0.256333213821644,NaN
30,0.109041163839578,NaN,0.42611240144845
35,NaN,0.270789642523373,NaN
40,0.0868868331617273,NaN,NaN
45,NaN,NaN,0.307723068318157
50,NaN,0.167671731468795,NaN
55,0.0558446049543364,NaN,NaN
60,NaN,0.125667802747297,0.174828118373963
70,0.0432343076238387,NaN,NaN
75,NaN,0.0804118327854735,0.131633814334229
85,0.0400891630823133,NaN,NaN
95,NaN,0.0649042799991067,0.134389914417115
100,0.0374339641759278,0.0723519800661345,NaN
150,0.041574025566433,0.0791004664343227,NaN
