t,input_il6,pJAK1_pgp130_Obs
1400,0.1,0.00167555647018571
1400,0.1,0.001776730501355
1400,0.5,0.00216231787790078
1400,0.5,0.00234971332872437
1400,1,0.00347690820789212
1400,1,0.00393314568563355
1400,2.5,0.00590013135373371
1400,2.5,0.00596370507498561
1400,5,0.00834130272579413
1400,5,0.00949507226472976
1400,10,0.0118950090032458
1400,10,0.0142932939570867
1400,25,0.0202378212886811
1400,25,0.0218341736713991
1400,50,0.0272437621804436
1400,50,0.0299690879891397
1400,100,0.0372779640414013
1400,100,0.0391027623611092
1400,500,0.0494955326797945
1400,500,0.0563074967823158
