t,Rec_Obs,pJAK2_Obs,IL13_DecoyR_Obs,CD274mRNA_Obs
0,1.34061984282499,0.00159327371860882,0.0668047618615583,30.4065991179877
5.5,NaN,NaN,0.197897839141347,NaN
8,0.792749205401391,NaN,NaN,NaN
10,NaN,NaN,0.267406668824922,24.8287991942714
15,0.77848705980116,0.723254544629518,NaN,NaN
20,NaN,NaN,0.326985006501081,NaN
25,0.492455140070505,NaN,0.293286120037555,-16.3404946875742
30,NaN,0.816985897694246,NaN,NaN
35,0.449769367468342,NaN,0.334830031936879,40.1725543495537
45,0.516746218891126,0.631471895757997,0.351536945614011,NaN
50,NaN,NaN,NaN,40.1959312606264
55,0.659158836275089,NaN,NaN,NaN
65,NaN,0.566459654220703,NaN,52.924261307068
70,0.608374547277908,NaN,NaN,NaN
80,NaN,0.445500753128931,NaN,NaN
85,0.878528953964726,NaN,NaN,94.0110986808826
100,0.48656081073206,0.462709120691419,NaN,118.389205915302
150,1.08685274093452,0.149749840898659,NaN,165.002750456449
200,NaN,0.0777687306616214,NaN,199.235828849371
250,NaN,-0.0253810708253342,NaN,NaN
300,NaN,0.145313168934644,NaN,NaN
