t,Rec_Obs,pJAK2_Obs,Rec_i_Obs
0,1.2816335440072,-0.122020683576425,369.545406988208
3,1.12438713391662,NaN,NaN
4,NaN,-0.0974487954633663,352.825688665987
6.5,0.984704286615851,NaN,NaN
7.5,NaN,-0.524016109430336,NaN
8,NaN,NaN,678.454372475261
10,0.828227489426589,-0.255077848729712,530.217511459115
15,0.960559027371692,0.1189223816863,440.660315284859
20,0.945762001672204,-0.3145092917081,NaN
25,0.681969951305681,NaN,501.298210123127
30,1.37145306617094,0.315040942268415,480.964740683472
35,NaN,-0.219974855723182,NaN
