t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,1665.4695975914,1730.47093242763,1.86840805238494,1767.53805739745,2832.68168094108
10,NaN,NaN,406.097972706062,NaN,NaN
15,NaN,1388.39924029963,NaN,1009.65406806413,1367.57597762023
20,1137.54036392654,NaN,NaN,NaN,NaN
25,NaN,NaN,301.526409578974,NaN,1435.44780630498
30,NaN,NaN,NaN,807.060177274657,NaN
35,NaN,1007.39865610371,250.984295825638,NaN,NaN
40,813.919612380594,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,1184.53193507302
50,NaN,731.674399913667,223.55361661896,532.555784621214,NaN
60,1039.11505705683,NaN,NaN,NaN,1171.0280744268
65,NaN,NaN,194.6220499595,NaN,NaN
70,NaN,NaN,NaN,327.179273458143,NaN
75,NaN,506.84972193569,NaN,NaN,NaN
80,NaN,NaN,157.256007704885,NaN,924.281719243252
85,989.0099004476,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,267.862348428495,NaN
100,1104.11519292588,219.196997568188,119.011575790065,215.760543177415,1085.84226987474
150,1283.44575636346,48.6324444821242,73.2700785327842,133.947077905894,942.614684225649
200,1614.28887167102,NaN,49.377206843216,NaN,NaN
250,1635.13853295422,NaN,74.0830722324254,NaN,NaN
300,1673.75995266087,NaN,NaN,NaN,NaN
350,1524.41035562406,NaN,NaN,NaN,NaN
400,1574.08776978409,NaN,NaN,NaN,NaN
