timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.0316460074180877,0.00735960562711604,0.000801227241319629
400,-0.0631515876749855,NaN,NaN
450,NaN,0.0513788459574721,NaN
500,NaN,NaN,-0.0534699726301461
800,0.0260134807012712,NaN,NaN
900,NaN,0.124859167820719,NaN
950,NaN,NaN,0.0281517225429718
1000,0.0906795846907332,NaN,NaN
1500,0.151505667750321,0.480289510498222,0.0324132142401045
2000,0.219570448750724,0.758450877192331,0.18049214078212
2500,0.388314554905167,0.90878560665475,0.308422208599087
3000,NaN,1.04246043311597,NaN
3500,0.600435775527672,NaN,0.518018612112932
4000,0.625749676389212,1.07647464003393,0.515157603972511
5000,0.710658016147065,0.733495583014946,0.363824094216167
6000,0.739702639409739,0.650428868065773,0.294724240075989
7000,0.718121671679637,0.467185363207847,0.13436408233519
8500,0.793904216276455,0.339884409011094,0.0620772537167335
