timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.0683716313844478,-0.019303392625415,0.0287686274951504
400,NaN,0.0421176340915549,NaN
450,0.0565570428487549,NaN,-0.000770006763924169
850,NaN,0.13842344328747,NaN
900,NaN,NaN,0.0272666398344315
950,0.0562734336520229,NaN,NaN
1500,0.151996859966884,0.540329183630654,0.0727963732482015
2000,0.258982875483005,0.699055710355247,0.211386146864319
2500,0.38094827866956,NaN,0.329177212175978
3000,NaN,1.14868146915005,0.483274487554221
3500,0.596281455528742,0.984625662817659,NaN
4000,NaN,1.01255315096935,0.535517206378861
4500,0.658018777818339,NaN,0.435917270709158
5000,NaN,0.891622155443011,NaN
5500,0.781304993239136,NaN,0.290426112707827
6000,NaN,0.633414568638593,NaN
6500,NaN,NaN,0.200723317407406
7000,0.704068638306612,0.464900600556566,NaN
8000,NaN,NaN,0.112835172354671
8500,NaN,0.333316426972757,NaN
