timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.0398657192975986,0.779874108231054,0.000503625375401682
200,0.0713717895334467,NaN,NaN
350,NaN,9.5084245058232,NaN
400,0.0215734304795567,NaN,NaN
450,NaN,NaN,0.00607367267986758
600,0.148956527274115,NaN,NaN
700,NaN,10.044092076767,NaN
850,0.191039674659029,NaN,0.00624067944832156
1000,0.372198875902543,9.57829549435045,NaN
1500,0.679256900590585,8.75298834633664,0.00511590588954448
2000,0.823746230379416,10.102553288666,0.00470928243129911
2500,0.845446907085497,9.14992086253732,0.00449263281187557
3000,0.798225971450279,9.52877191762895,0.00443255705199314
3500,0.842511466132502,8.96675518428199,0.004532927545381
4000,NaN,8.49991024206295,NaN
4500,NaN,NaN,0.00358069430262933
5000,NaN,6.59414769002231,0.00339049290905368
6000,NaN,6.78187289358877,0.0036466439347782
7000,NaN,6.08729890677339,NaN
7500,NaN,NaN,0.00283902531945358
8500,NaN,6.90312121957143,0.00230830839635632
