timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.0232318442002301,-0.00831817796688423,0.0209547726213498
400,0.0425305812047269,0.0434193740195487,NaN
450,NaN,NaN,0.000547345607928912
800,0.0293176848789785,0.0624559491785364,NaN
950,NaN,NaN,0.0123519947065468
1000,0.0470194768872816,NaN,NaN
1500,0.0836388705593266,0.372694568602892,0.0402587069317239
2000,0.167112160957456,0.618095105219556,0.102828757383852
2500,NaN,NaN,0.23101577593272
3000,0.352533204766157,0.841040293713665,0.295384534849369
3500,0.394815680429669,0.958182208536593,NaN
4000,NaN,0.864290183221856,0.451028292213941
4500,0.507206362418373,NaN,NaN
5000,NaN,0.895108466455401,0.41000562006439
5500,0.575866408871387,NaN,NaN
6000,NaN,0.787777933263883,0.312224265959604
6500,0.532693726674702,NaN,NaN
7000,NaN,0.633550993531005,0.202079351828597
8500,NaN,0.387683308567259,0.135921483279702
