timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,-0.00628676632450704,-0.0351854643803598,0.000221241432432909
300,0.0917712393222069,NaN,NaN
350,NaN,10.026257016204,0.00573489422769826
650,0.396680282329549,NaN,NaN
700,NaN,10.022232888505,0.00580328802103876
1000,0.555426489820048,9.58354669676993,0.00550124740646612
1500,0.441745957187446,9.12346887132391,0.00549763469931083
2000,0.470421109852359,8.21038369421442,0.00466159334904034
2500,NaN,7.79773738995419,0.00428452227653499
3000,0.433962419155005,9.0921491970126,0.00449738121255636
3500,0.439080270704753,7.28787912417126,0.00472835507595002
4000,0.476405244963667,7.95728550331562,0.0040282970697626
5000,0.484167406360312,5.6024261106448,0.00358548348191961
6000,NaN,6.0169798653255,0.00307857294540823
6500,0.439311862832493,NaN,NaN
7000,NaN,6.47429872153447,0.00345237970976608
7500,0.465688703586249,NaN,NaN
8000,NaN,7.58195818866248,0.00231331533785753
