timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.0392709279606296,-0.446316127328151,-0.0742637220062025
100,0.0268455370784954,NaN,NaN
250,0.0735903266547581,NaN,NaN
350,NaN,1.6391548357372,NaN
400,0.132790021058672,NaN,0.00568207757307724
500,0.209885177399826,NaN,NaN
650,0.282317885482934,NaN,NaN
750,NaN,6.47950654300239,0.757003573392968
850,0.38506779300191,NaN,NaN
1000,0.456178304894126,7.52148236596477,1.67223360836094
1500,0.492065616943008,5.10471330851929,2.09751868456539
2000,0.469249118839065,4.13538832606775,1.74227918370131
2500,NaN,3.64218504763596,1.330103965658
3000,NaN,3.51283097307958,0.973563450685375
4000,NaN,2.57902844008778,0.636776088994124
4500,NaN,1.83023915477358,0.412664853773572
5500,NaN,1.46143458786538,0.276490007534664
6500,NaN,1.5891675878765,0.118250091842777
7500,NaN,1.54054962777373,NaN
8000,NaN,NaN,0.0825083555968009
