timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.0201723107225405,-0.0157743558059301,-0.0844279758670916
100,0.0129721476369157,NaN,NaN
250,0.0509869277166061,NaN,NaN
400,0.0997101819382424,2.28489824219083,NaN
450,NaN,NaN,0.0168608186782282
550,0.119124856250597,NaN,NaN
750,0.245639250368337,5.93760280425194,NaN
900,NaN,NaN,0.933581312334167
950,0.328889877456848,NaN,NaN
1000,0.371870035906509,6.97809559933692,NaN
1500,NaN,6.01605448156448,2.15075423981355
2000,NaN,4.44397308768183,1.80378801321295
2500,NaN,4.22873419406574,1.39383863444544
3000,NaN,NaN,1.14294938850343
3500,NaN,3.29000617624377,NaN
4000,NaN,2.36582659356826,0.640515742814568
5000,NaN,1.1057771142776,0.338789358529865
6000,NaN,1.83912899366754,0.187702750796242
7000,NaN,1.54664035748325,NaN
7500,NaN,NaN,0.187237354054113
