timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.0239877784026195,0.10182041674948,-0.00147943923345865
350,NaN,0.34877989165283,0.00131680224750309
400,-0.0263356892458353,NaN,NaN
750,NaN,0.968365782330121,0.00178751902027996
800,0.113759872079551,NaN,NaN
1000,0.245230089499546,3.63363921666079,0.0278751895482324
1500,0.332360682848632,7.41459122631411,0.149299867950036
2000,0.342322991910144,7.18006288225986,0.17164454266472
2500,0.342270787478623,6.0531783635853,0.136060287582946
3000,NaN,5.73637309199102,0.0954755327171013
3500,0.337365035252114,4.17114898949438,NaN
4000,0.297695669425902,NaN,0.0636821143956889
4500,NaN,3.66260987278775,0.0481276214311084
5000,0.348244238572623,NaN,NaN
5500,NaN,2.9739885888918,0.0327421721935268
6000,0.364549875053872,NaN,NaN
6500,NaN,2.82129534326702,NaN
7000,0.327525253633432,NaN,0.0194537101143174
8000,NaN,2.25551382941646,NaN
8500,0.319902075623831,NaN,NaN
