timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.00918760941908375,-0.332805476960709,-0.0936455792127392
150,-0.00148668865830928,NaN,NaN
250,0.0465769492573718,NaN,NaN
300,NaN,1.17331742074602,NaN
400,0.130107372913653,NaN,0.0195252790514742
550,0.140677979616792,NaN,NaN
600,NaN,4.45765855072658,NaN
750,0.271681937876082,NaN,NaN
800,NaN,NaN,0.556683679801443
900,NaN,6.73715219125544,NaN
950,0.345601800070166,NaN,NaN
1000,0.339004098396523,NaN,NaN
1500,0.463063096944718,6.14683610270361,2.10116392390305
2000,0.496223587887336,4.83609698796539,1.75832111967251
2500,0.533592236021056,3.49454003772485,NaN
3000,NaN,3.11765038707756,1.01875867697863
3500,NaN,2.66942472505882,0.728706320527215
4000,NaN,2.49208850148578,NaN
4500,NaN,NaN,0.388784535715265
5000,NaN,1.59935146022988,0.355953483395503
6000,NaN,1.56762308194344,NaN
6500,NaN,NaN,0.148479080454629
7000,NaN,1.59112425098895,NaN
7500,NaN,NaN,0.172732384566104
