timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,-0.00778859632865166,-0.2235282521376,0.0379035084567254
150,0.0132927950230789,NaN,NaN
350,0.0634965154447166,1.06553140240356,NaN
450,NaN,NaN,0.134236644375423
550,0.0948916482979344,NaN,NaN
700,NaN,3.94900847406344,NaN
800,0.192251610027672,NaN,NaN
900,NaN,NaN,0.471677231443978
1000,0.241871806559125,6.31200305424211,NaN
1500,0.534465802516461,6.53934136544862,1.9259117275028
2000,NaN,4.80250013831306,1.96043706561898
2500,NaN,4.42767375991053,1.43565559763663
3000,NaN,3.2579965107904,1.13614170660155
3500,NaN,2.60880711618395,NaN
4000,NaN,NaN,0.672988110267613
4500,NaN,1.73344104231167,NaN
5000,NaN,2.47329837179317,0.355037272532726
6000,NaN,1.73270577327561,0.242566324761242
7000,NaN,NaN,0.145659680389812
7500,NaN,1.50828984688198,NaN
8500,NaN,NaN,0.109631176096354
