timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.0731584285067016,-0.0328950238109274,-0.013670059208999
200,0.0539549709059565,NaN,NaN
400,0.0879898015188288,NaN,NaN
450,NaN,0.131808583719833,-0.0132683964161803
600,0.122839738365221,NaN,NaN
850,0.254481021638465,NaN,NaN
900,NaN,0.508855063465382,0.0591843591695654
1000,0.412869382735293,NaN,NaN
1500,1.07725788394527,1.50309117178005,0.684488883947645
2000,1.43506201179993,1.47282845185755,1.15184756881786
2500,1.5575222578127,1.10793364290195,0.95718834191925
3000,1.53208834401355,0.970852083379246,0.590345106986701
3500,1.43648931363862,NaN,NaN
4000,NaN,0.630238478376577,0.221887582466161
5000,NaN,0.414779368209242,0.121804101521699
6000,NaN,0.24869600169614,0.0544445033085992
7000,NaN,0.1713599249894,NaN
7500,NaN,NaN,0.0397997371215228
8500,NaN,0.140082780789526,NaN
