timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,-0.0102455863528941,-0.0220794617855932,0.0263206943200083
300,0.0218228421429195,NaN,NaN
400,NaN,0.0211083139944333,NaN
450,NaN,NaN,-0.00303559405499034
600,0.0964104776016989,NaN,NaN
800,NaN,0.202385797138789,NaN
900,0.068995168054,NaN,0.0394316777640731
1000,0.113619720024629,0.239816567520567,NaN
1500,0.236873936679526,0.496004019876377,0.128066131542226
2000,0.441381213912885,0.919660410026902,0.302454721629823
2500,0.5493863350353,1.03678846965424,0.549507341653399
3000,0.699495958456953,NaN,0.607386183526083
3500,0.721403727925975,0.97785597187991,0.564354993421754
4000,NaN,0.947647986199009,NaN
4500,0.778979020464357,NaN,0.364717705318372
5000,NaN,0.77444842128067,NaN
5500,0.749986967924439,NaN,0.250152946176506
6000,NaN,0.600268145379596,NaN
6500,NaN,NaN,0.149854904812979
7000,NaN,0.452547893787238,NaN
8000,NaN,NaN,0.117147427942009
8500,NaN,0.288276251966751,NaN
