timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.0824449238891956,-0.375920095427185,-0.000530061657588264
150,-0.0063670110552016,NaN,NaN
300,0.125054629356715,8.36537815811267,NaN
450,NaN,NaN,0.00614664105420984
500,0.153777119371707,NaN,NaN
650,0.254352377312803,9.55273145030465,NaN
850,0.56595950354406,NaN,NaN
950,NaN,9.19904224018051,0.0060259947644855
1000,0.756507474311548,NaN,NaN
1500,0.970424688803073,7.76608514019624,0.00498389218807112
2000,1.06781640473007,7.61334538953779,0.00461924245414687
2500,1.0141970931389,8.75651036078309,0.00406524880213544
3000,1.03727408406504,7.73566350996742,NaN
3500,NaN,8.55985073525872,0.0038302877686174
4000,NaN,NaN,0.00425264495426967
4500,NaN,7.50890950595459,NaN
5000,NaN,6.56805082989967,0.00375427792963832
6000,NaN,8.37748563034531,0.00303535084844491
7000,NaN,NaN,0.00293181122888285
7500,NaN,6.51251198296336,NaN
8500,NaN,NaN,0.00212212290943513
