timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,0.127858485554831,-0.237083839810704,0.000324828203351653
300,NaN,9.14832011601799,NaN
400,0.131444698236255,NaN,0.00629724109926012
650,NaN,9.65279119729457,NaN
750,0.834604076089771,NaN,NaN
850,NaN,NaN,0.00560237747379685
950,NaN,9.94547513180552,NaN
1000,1.12702702749202,NaN,NaN
1500,1.01517055677093,8.16059705368249,0.00517737578755162
2000,1.13619262378181,8.85068164740627,0.00475551191185108
2500,1.05103770478333,8.46773500590917,0.00490912245420919
3000,NaN,8.03836702758554,0.00464966994853521
3500,1.16370126305184,NaN,0.00443193962625664
4000,1.2152639451573,6.65091668459321,NaN
4500,NaN,8.09451469285993,0.00339137731185645
5000,1.08083844883091,NaN,NaN
5500,NaN,7.10222222357341,0.00330655371232189
6000,0.977927361110182,NaN,NaN
6500,NaN,6.52147149623819,0.00297190481509571
7000,1.12658720166733,NaN,NaN
7500,NaN,7.92173707128884,NaN
8000,NaN,NaN,0.00268943478843034
8500,1.16192794520889,NaN,NaN
