timepoint,Bac_Obs,cGlu_Obs,Ind_Obs
0,-0.0607391280347038,-0.0108851530338473,0.000524017706669992
150,0.056342854788258,NaN,NaN
300,0.0189813208008752,NaN,NaN
350,NaN,NaN,-0.0584300544946357
400,NaN,2.05098323366156,NaN
500,0.100938075381224,NaN,NaN
650,0.196235847204707,NaN,NaN
750,NaN,NaN,0.509960057484705
800,NaN,6.15041806993831,NaN
850,0.405106422059995,NaN,NaN
1000,0.517227437621444,7.62283565890963,1.22110732168552
1500,1.02031714184226,5.83340529980959,2.14019529984353
2000,1.11122990971408,4.58352733776711,1.91448353206767
2500,1.13554183987966,3.64739217477123,1.35297705803445
3000,1.22692517028767,NaN,1.00741631586111
3500,NaN,2.98261823100368,NaN
4000,NaN,2.65861040993586,0.524625755990312
5000,NaN,2.02991639107388,0.333234822918608
5500,NaN,1.65693160797964,NaN
6000,NaN,NaN,0.229998402696805
7000,NaN,1.32669473180104,0.109912377573673
8000,NaN,1.12618869389146,NaN
