t,Epo_Obs,Epo_EpoR_Obs,Epo_EpoR_i_Obs,dEpo_i_Obs,dEpo_e_Obs
0,1611.64695676453,-7.58797322424186,-9.52629816029413,1.38558578313072,-7.58048717716728
20,NaN,326.535942450028,147.907934016393,NaN,NaN
25,1073.15072252131,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN,-21.4174866411398
35,NaN,NaN,NaN,3.06126779125395,NaN
40,NaN,295.053932257566,NaN,NaN,NaN
45,1007.93335432806,NaN,245.921036646149,NaN,NaN
55,NaN,271.073327804359,NaN,NaN,NaN
65,NaN,NaN,324.59428533179,NaN,286.182526254818
70,781.70254690711,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,15.2350199723823,NaN
80,NaN,227.008821166342,NaN,NaN,NaN
90,NaN,NaN,341.896006162208,NaN,NaN
100,541.532407702675,210.969732583216,360.791633776027,16.4692081696979,410.608396473795
150,371.226382637429,141.540299958821,302.472095679558,34.9111042382143,820.209050181152
200,237.491598800671,97.0204162419407,224.558031874427,45.553250714005,1059.47264500413
250,72.0594242698989,67.7415100299057,184.940926913804,52.6601625284211,NaN
300,115.686078760749,38.7048568016065,107.793597938935,59.0330426960294,1335.88301011098
350,16.1497478507864,NaN,76.3272553140568,NaN,1469.56890726024
400,-54.1416710885004,27.5908053460185,49.6880934698944,65.6339195501429,1552.68506298128
450,NaN,1.41973601346078,27.0564115657535,NaN,NaN
500,24.3103829989593,NaN,NaN,65.6168424415381,1564.62861280505
600,NaN,NaN,NaN,66.0329709508301,1580.71108987153
700,NaN,NaN,NaN,NaN,1578.72710145874
750,NaN,NaN,NaN,64.2008751935552,NaN
