t,STAT5B_Obs,pApB_Obs,pApA_Obs,nucpApA_Obs,nucpBpB_Obs
0,65.9667283054123,0.979932492744505,-1.21754238627792e-07,-2.62462138266698,-0.620386590676791
15,NaN,24.4228749899265,2.29011944362072e-06,NaN,44.2735484339115
20,NaN,NaN,NaN,142.600844098548,NaN
25,12.788167442005,NaN,NaN,NaN,NaN
30,NaN,22.1486395407665,NaN,NaN,44.4299463029268
35,NaN,NaN,7.95644053308962e-07,NaN,NaN
40,NaN,NaN,NaN,160.412833463707,NaN
45,8.65570324411873,20.2508518333656,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,47.328036956948
55,NaN,NaN,7.44472888618615e-07,NaN,NaN
60,NaN,NaN,NaN,159.295650765089,NaN
65,NaN,17.2250965649114,NaN,NaN,37.3470677228744
70,4.01873675740016,NaN,NaN,NaN,NaN
75,NaN,NaN,5.27966115071028e-07,NaN,NaN
80,NaN,NaN,NaN,163.505784787441,NaN
85,NaN,14.9917508821811,NaN,NaN,44.1933226628468
95,6.65406340946524,NaN,NaN,NaN,NaN
100,8.8895661290779,15.0825766777727,5.54241102098979e-07,136.341110268666,34.1298021586581
150,11.4313027525184,11.1148133567303,9.57202050198059e-08,112.572159241123,32.834870332864
200,13.1106431966665,7.48732438317784,NaN,119.134594829448,24.6463119395416
250,14.0423632528177,3.55617535997652,NaN,99.0425470895465,23.8101310135063
300,15.7235998637905,0.811688835198877,NaN,74.9612305756796,19.0484384901803
350,19.8787570617916,NaN,NaN,69.5563178270577,NaN
400,17.7451156744955,NaN,NaN,NaN,11.5394032162214
450,NaN,NaN,NaN,45.6049905275797,NaN
500,20.5674852826836,NaN,NaN,57.7902893177492,NaN
550,24.5181306785169,NaN,NaN,NaN,NaN
650,20.3736469539785,NaN,NaN,NaN,NaN
