timepoint,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,0.0125988621014257,0.00083103138335393,10.2531954115726
450,1.12120627960721,NaN,8.45685746024123
550,NaN,0.0106897752486575,NaN
850,2.57552661657273,NaN,7.51206926434777
1000,NaN,0.353281473143627,NaN
1500,6.37674341272331,0.698829942475149,2.3040162025952
2000,5.30391311282574,NaN,1.74598352577462
2500,5.50067706392711,1.06805667092344,0.573489820672756
3000,3.85348205966783,0.912164470253167,1.11104264671762
4000,4.2730433799892,0.648500010038268,0.769823538958393
4500,3.92923764347588,NaN,0.479504646442551
5500,NaN,0.254492626786356,0.317395057676353
6000,2.80392302450281,NaN,NaN
7000,3.38133434221022,0.144030478447113,0.221221695317654
8500,1.53234032916091,0.0854667539652369,0.0960591591985961
