timepoint,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,0.00997841909612582,9.23758479091971e-06,13.5683538478151
150,NaN,NaN,0.00244218238633349
250,NaN,NaN,0.00396797515225105
350,11.9147416558966,NaN,NaN
400,NaN,NaN,0.00328115461082173
450,NaN,0.00322144938334877,NaN
600,NaN,NaN,0.00248637376576605
650,9.57852124898252,NaN,NaN
750,NaN,NaN,0.00286954951458099
950,NaN,0.00242842686894298,NaN
1000,11.986464530629,NaN,0.00230331059502921
1500,9.77054478802739,0.00190068928680477,0.0024811056594963
2000,10.2225139460006,0.00236160903559428,NaN
2500,10.8895855761046,0.00224325637983811,NaN
3000,7.14736729039063,0.00184194973115956,NaN
3500,9.26700711442391,NaN,NaN
4000,NaN,0.00210761307790687,NaN
4500,7.67614556118314,NaN,NaN
5000,7.92808853257397,0.00142633070973495,NaN
6000,10.2163271200657,0.00162254321603355,NaN
7000,7.49947120895891,0.00142489691808744,NaN
8500,5.00979532420119,0.00112704026555493,NaN
