timepoint,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,0.00104263242428383,0.00107632261252006,10.1434836008126
400,0.0916316881901825,0.00204120783006049,NaN
450,NaN,NaN,11.2435048504097
800,0.228116296078098,0.0153033523486971,NaN
950,NaN,NaN,10.9448453553401
1000,0.235501668868982,NaN,NaN
1500,0.79309184819201,0.147570092651407,11.1720417440318
2000,0.847959046366768,0.517235197207407,9.443330532011
2500,0.934363574173607,NaN,7.4758972781746
3000,NaN,0.574266320290858,NaN
3500,1.0395385866464,0.594342239774345,5.97861856620587
4000,0.826619825753274,0.36537849518932,NaN
4500,NaN,NaN,2.20582332975447
5000,0.580768881330863,0.205396361406126,NaN
5500,NaN,NaN,2.3741265548673
6000,0.637489270592112,0.22247651786411,NaN
6500,NaN,NaN,2.05458061835231
7000,0.550447906568721,0.108447309661827,NaN
8500,0.38594677425995,0.0940682411317712,0.648032589737921
