timepoint,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,0.00855617323882449,0.000987787891102779,6.80090609969261
400,1.50487474370661,NaN,NaN
450,NaN,0.00928507842394035,8.31482853462028
800,4.26870187042461,NaN,NaN
900,NaN,0.213333192114731,6.91060868225141
1000,5.86352682105265,NaN,NaN
1500,10.3598152909267,1.03039937716513,1.63773915130655
2000,4.10248235443581,1.53754015158033,2.03061804328079
2500,NaN,1.45900772336666,0.877340429012518
3000,3.83843364078253,0.87009848035965,NaN
3500,4.30527635211938,NaN,0.499751762874528
4000,4.12923808163202,0.401165169275485,NaN
4500,NaN,NaN,0.34853427649898
5000,2.67881643510128,0.34986703045709,NaN
5500,NaN,NaN,0.187404934602495
6000,NaN,0.107740405695059,NaN
6500,2.59054082889834,NaN,NaN
7000,NaN,0.203141923086299,0.134090906259838
7500,1.47931967033671,NaN,NaN
8500,NaN,0.103131540772873,0.0857803736630631
