timepoint,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,0.000847586779954993,0.00115906064778081,7.44942224477211
400,0.0907020614140394,0.00202620874046175,7.10145917471831
800,0.211127092998851,NaN,NaN
850,NaN,0.0276923583379312,6.41450968024655
1000,0.289324691724515,NaN,NaN
1500,0.537174217503251,0.206908150770304,7.34832585899668
2000,1.08249039710367,0.533337731596956,5.11309920822592
2500,1.18882568994316,0.703447716133094,8.12659424084196
3000,NaN,0.569014167803886,6.48505833831812
3500,0.631259437269866,0.521327987129649,NaN
4000,1.12429899065841,NaN,3.36286404836274
4500,NaN,0.350866803666622,NaN
5000,0.929230865527034,NaN,1.86234931444646
5500,NaN,0.237671504896135,NaN
6000,0.506466187327225,NaN,1.90283735941366
6500,NaN,0.197532030590879,NaN
7000,0.464422353655297,NaN,NaN
7500,NaN,NaN,0.694299291037035
8000,NaN,0.148087201757983,NaN
8500,0.354175861029506,NaN,NaN
