timepoint,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,0.00928250975669471,0.000843075705857504,12.4452282737785
400,1.82451905027205,NaN,10.0424456635359
450,NaN,0.0190617872633828,NaN
800,5.59191191988445,NaN,5.49157768615274
900,NaN,0.399950672631626,NaN
1000,5.78849055681403,NaN,3.74131005077288
1500,9.26375746626989,1.22053897183635,2.03076817862879
2000,4.76869079384218,1.53953803302198,1.89695222218541
2500,7.63278056055636,1.17158737879836,0.81106485087059
3000,NaN,0.499259690925784,NaN
3500,6.09927709407541,NaN,0.710434520976189
4000,4.28525888513608,0.571869047659614,0.673913038769549
4500,NaN,0.41674738452088,NaN
5000,2.20302922592194,NaN,0.250410785861284
5500,2.03232757173551,NaN,NaN
6000,NaN,0.171103051900112,0.124051000328588
7000,1.5254579044911,0.135230905311975,NaN
7500,NaN,NaN,0.124099621358807
8000,1.68203203918786,NaN,NaN
8500,NaN,0.0591825860514975,NaN
