timepoint,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,0.00156357188814558,0.00130468452171414,16.2840950578949
350,NaN,0.00203516966715613,NaN
400,NaN,NaN,9.22702580165737
500,0.120888251091886,NaN,NaN
700,NaN,0.0284724887026378,NaN
800,NaN,NaN,10.7147249868164
1000,0.778699441400557,0.173077953952276,9.55564758923727
1500,1.42019723111426,1.04536311673461,5.93116019732257
2000,1.3847088878311,1.54455990566359,4.10067424715719
2500,NaN,0.848534101582838,NaN
3000,0.797948422828381,0.400965281504851,1.6330083749053
3500,1.03739383477706,0.367319834016585,0.780933295719984
4000,NaN,NaN,0.465917677065695
4500,0.260111464307709,0.147612946029514,NaN
5000,NaN,0.0636025530200953,0.158184798002253
5500,0.249927774822083,NaN,NaN
6000,NaN,0.0200097955734529,NaN
6500,NaN,NaN,0.0351436269909599
7000,0.15990624798054,0.0223235855074199,NaN
7500,NaN,NaN,0.00780467993656839
8500,0.07752398134587,NaN,NaN
