timepoint,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,0.0117583462121539,1.18966638332342e-05,12.221342750337
150,NaN,NaN,0.00218212678111982
350,12.0542299230864,NaN,0.00368314716829775
450,NaN,0.0038920063388223,NaN
550,NaN,NaN,0.00252169432504785
700,9.07002096219605,NaN,NaN
750,NaN,NaN,0.00293945965902383
950,NaN,0.00426716306158302,NaN
1000,11.777061210625,NaN,0.0026247894333044
1500,9.58728036249716,0.00242868520884243,0.00274474895056993
2000,9.1400975734651,0.00136357568068966,NaN
2500,15.145821025934,0.00237546712382778,NaN
3000,NaN,0.00186035104281365,NaN
3500,10.1658454482428,NaN,NaN
4000,8.78944920501911,0.00150621283200044,NaN
4500,6.32220947727141,NaN,NaN
5000,NaN,0.00183783539427105,NaN
5500,7.52939417858581,NaN,NaN
6000,NaN,0.00167000986462071,NaN
6500,8.72759667810657,NaN,NaN
7000,NaN,0.00156359757906625,NaN
7500,6.12812992746065,NaN,NaN
8500,7.62349765904251,0.00122675813667153,NaN
