timepoint,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,0.00107329437691058,0.00115966532463846,6.19071215768012
300,NaN,0.00115269979895942,NaN
400,0.0726201884870389,NaN,13.6631008570797
650,NaN,0.00507098339387222,NaN
800,0.198675138028661,NaN,16.9279695274875
950,NaN,0.0203274366353404,NaN
1000,0.33194987698758,NaN,8.48822777968126
1500,0.40029867786477,0.133238423587419,8.87684630686442
2000,1.39762507209142,0.291124068721293,6.76555133777482
2500,1.43389942794014,0.872785884217697,NaN
3000,NaN,NaN,8.37549326193905
3500,1.2101245505232,0.831635583269055,3.34393870302668
4000,1.39253328810052,0.615981799145933,NaN
4500,NaN,NaN,1.17820968791009
5000,0.693583284171268,0.407770576197058,NaN
5500,NaN,NaN,0.309062847150042
6000,0.307750045454218,0.0617015759763902,NaN
6500,NaN,NaN,0.128881301750788
7000,0.211821141207214,NaN,NaN
