timepoint,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,0.00923483690214829,7.85858347227066e-05,10.5631132333444
350,NaN,NaN,10.4023196951475
400,0.382614459766666,0.000386363453187556,NaN
750,NaN,NaN,9.30979868502779
800,0.698492321096617,0.00161509529929024,NaN
1000,2.37418286784255,0.00837954246779167,8.06819520387174
1500,6.98318126127678,0.231918792557215,2.96702084845871
2000,5.3928452294464,NaN,NaN
2500,7.09885959432529,0.242491751612192,0.190677990538891
3000,NaN,0.0829574508482655,0.137979074394865
3500,2.31434274154201,0.110828501251257,NaN
4000,2.41911366371946,NaN,0.0501210008221109
4500,NaN,0.0505163085135932,NaN
5000,2.88187234047006,NaN,NaN
5500,NaN,0.0319138150106877,NaN
6000,1.56073882591986,NaN,NaN
6500,NaN,0.0130775213275228,NaN
7500,1.63482487958644,NaN,NaN
