timepoint,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,0.00901730233203978,1.0129857036342e-05,8.15664127007651
150,NaN,NaN,0.00262896703172802
300,7.67790732327001,NaN,NaN
350,NaN,NaN,0.00378820025136792
450,NaN,0.00201412583694684,NaN
550,NaN,NaN,0.00212950639984328
650,7.02340922342025,NaN,NaN
800,NaN,NaN,0.00266511389748764
900,NaN,0.00385846019518836,NaN
1000,11.7905032134895,NaN,0.00231805187492797
1500,9.08643721614936,0.00409371116460677,0.00179184694449293
2000,8.80329604424326,0.00315596376620263,NaN
2500,10.2181603240582,0.00160834450489048,NaN
3000,6.19942991460963,0.00185122894767892,NaN
3500,NaN,0.00191364938960899,NaN
4000,8.00357074636149,NaN,NaN
4500,8.04954792691812,0.00126037620081959,NaN
5500,6.47396298414153,0.0015815786715112,NaN
6500,5.23411154078651,0.00137782735893073,NaN
8000,7.73512874313336,0.00106466989550315,NaN
