timepoint,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,0.00922095423646838,1.07936303741391e-05,7.94310392188419
150,NaN,NaN,0.00237743430945487
350,9.87374956925818,NaN,0.00325371412402486
400,NaN,0.00262206949036373,NaN
500,NaN,NaN,0.00355085302149547
700,13.3939778050505,NaN,0.00382350792920424
850,NaN,0.0020772091348236,NaN
950,NaN,NaN,0.00195465242707301
1000,10.694283141622,NaN,0.00221858191020851
1500,8.77333001098933,0.00223842927136447,0.00246398796518269
2000,8.49899335659851,0.00178081681554047,NaN
2500,6.1252590922939,0.00243864881237895,NaN
3000,8.5975110032012,0.00245810434411882,NaN
3500,10.6812850714833,0.00238262252636272,NaN
4000,6.17977016296129,NaN,NaN
4500,NaN,0.00149082009616773,NaN
5000,11.8662812335356,0.00125498393293131,NaN
5500,9.74124801143488,NaN,NaN
6000,NaN,0.00192700271339817,NaN
7000,10.4955055971417,NaN,NaN
7500,NaN,0.00142861130268617,NaN
8000,6.81657791124037,NaN,NaN
8500,NaN,0.00130912163417162,NaN
