timepoint,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,0.00146988880152716,0.000888334994345846,9.44647932006881
350,NaN,NaN,5.76568966248945
400,0.0469893485505951,NaN,NaN
450,NaN,0.00242608463912763,NaN
700,NaN,NaN,10.3799869232825
800,0.155203322393448,NaN,NaN
950,NaN,0.00831683653734449,NaN
1000,NaN,NaN,7.67840067940607
1500,0.290592268446162,0.023497148696949,8.37962245481949
2000,0.539104494825463,0.0949073851312437,8.67350351854843
2500,NaN,0.240807117857658,10.7760266842007
3000,1.052107619932,0.414643424841821,6.44235593472518
3500,1.26751184877174,NaN,9.68094458307255
4000,1.12800377538748,0.516351129120126,4.85860021176521
5000,0.710393919142436,0.73227498172634,3.06067038040996
6000,1.06966790592269,0.383629680667065,1.3195111427038
7000,0.487812303391515,NaN,0.678793894717285
7500,NaN,0.15900590806255,NaN
8500,0.196777382001141,NaN,NaN
