timepoint,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,0.00813750808589458,0.00142316058783092,9.42086116208582
350,0.828458689800345,0.00342054080494298,9.43958093134289
700,4.02004890781344,NaN,NaN
750,NaN,0.245851923984217,5.27280744772893
1000,7.13297723335789,1.01977865106759,2.71425676165014
1500,6.04504049053181,0.786859560477921,1.71944172754673
2000,6.67272908123676,1.02367630963116,1.08807950527631
2500,4.72547921043746,1.03489077792655,NaN
3000,5.03591280219297,0.584850223005556,0.728752370824831
3500,3.12455958129491,NaN,0.439613662891744
4000,NaN,0.34966126709245,NaN
4500,2.22392108021191,NaN,NaN
5000,3.12313161364265,0.341653960234854,NaN
6000,2.03691845860964,0.146453381984451,NaN
7000,NaN,0.19484021590132,NaN
7500,1.92982008412753,NaN,NaN
