timepoint,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,0.000925542525415465,0.00102174387517026,7.58249894098995
300,NaN,NaN,9.5848008787319
400,0.0319071804368946,0.00276360146647416,NaN
650,NaN,NaN,9.7119404723544
850,0.0704268975009558,0.00521567701550006,NaN
950,NaN,NaN,7.87125235609019
1500,0.341218716565955,0.0347528017115218,9.81204937191453
2000,0.883503355027263,0.157422619004799,10.401242941586
2500,0.809565059494081,0.594768286907084,5.34629919957865
3000,1.26726751395372,0.565404130279133,NaN
3500,1.41205346437501,0.682551440136077,5.39725378600182
4000,NaN,NaN,4.91338382595273
4500,1.2134280925901,0.552618582288676,NaN
5000,0.785061499458555,NaN,2.66906337436815
5500,NaN,0.265069956874374,NaN
6000,NaN,NaN,1.07332469650541
6500,0.614676248733161,NaN,NaN
7000,NaN,0.142137476496349,NaN
7500,0.308787772979062,NaN,NaN
