timepoint,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,0.00914741410083114,0.000970604907244103,12.8396920423569
350,NaN,0.00380542238903813,10.2339714882634
400,2.09725297929093,NaN,NaN
700,NaN,0.360879210612158,NaN
750,8.41552167196981,NaN,3.56428953823482
1000,10.7729585720709,0.824223669020198,1.92341224000003
1500,5.05120260557139,1.80559151009122,1.72060607499418
2000,6.86060149900111,1.74382366597972,1.02607514294623
2500,4.59007299045232,1.18087778234226,NaN
3000,NaN,0.616499223763923,0.773023262801541
3500,5.04380544182939,0.530941567965163,0.66170464095607
4000,2.3357343146369,NaN,NaN
4500,NaN,0.2094219741545,0.329743638432518
5000,3.09789836724312,0.198806354132337,NaN
6000,1.88768018342228,0.168602704468811,NaN
7500,2.26029717335013,0.079351136368232,NaN
