timepoint,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,0.0138570410903753,0.000839326907079132,8.59397808515739
350,NaN,NaN,12.0976505465056
450,1.79604684719131,NaN,NaN
500,NaN,0.031628302464281,NaN
700,NaN,NaN,3.85379749970472
900,8.28798623652642,NaN,NaN
1000,NaN,1.0282022682887,2.11445569354435
1500,7.57983833245893,2.20158344572401,1.45210935807763
2000,6.43904539815492,1.22832593382828,2.26683372684812
2500,7.32444644153688,NaN,0.778628315655137
3000,4.2390217457198,0.5007684420143,0.587365157824235
3500,NaN,0.505703827467182,NaN
4000,4.01619477907517,NaN,0.497943211060643
4500,2.99823578763068,0.333122057314645,0.320173807210226
5500,NaN,0.21879870815275,0.173733619726385
6000,1.7099818354505,NaN,NaN
7000,1.28075714893675,0.101586727199402,0.12001360425875
8500,1.64116430861281,0.182278922513716,NaN
