timepoint,cGlu_Obs,Ind_Obs,Compound_1_Obs
0,0.00944555962117794,1.18033144000685e-05,13.3351963016475
150,NaN,NaN,0.00414833073624932
300,8.49731131946974,NaN,0.0025707553388277
400,NaN,0.0021400728496302,NaN
500,NaN,NaN,0.00290418345489066
600,11.4214276025301,NaN,NaN
700,NaN,NaN,0.00212171963517607
850,NaN,0.00189654821458946,NaN
900,14.4672102330511,NaN,0.00317958020740675
1000,8.98186606536153,NaN,0.00230222339114201
1500,9.52959260523496,0.00214923518812811,0.00207478702186901
2000,10.7689857409577,0.00197614448211517,NaN
2500,7.41540965891698,0.0023332001280042,NaN
3000,7.78319102930648,0.00370773687858902,NaN
3500,NaN,0.00152329889469885,NaN
4000,10.8792200217851,0.00150442927772965,NaN
4500,9.17804472042103,NaN,NaN
5000,8.30005137494274,0.00324230057430978,NaN
6000,6.47123242194655,0.00221446496521211,NaN
7000,9.0890312028298,NaN,NaN
7500,NaN,0.000752678064984181,NaN
8000,7.2756313496996,NaN,NaN
8500,NaN,0.00094252079195323,NaN
