t,PKDDAGa_Obs,CERTERa_Obs,CERTTGNa_Obs
0,313.413724272732,63598971.5017515,69877280.3076823
3,478.722157699402,206544966.15529,NaN
3.5,NaN,NaN,83529327.6935211
5.5,695.258308585293,NaN,NaN
6.5,NaN,267857079.419538,NaN
7,NaN,NaN,152087586.549172
8.5,651.83250444123,NaN,NaN
10,860.610675338636,309126485.660837,229287219.183249
15,1341.16892409096,273445283.214819,203571563.624157
20,1585.20288443698,521867262.84569,222726689.767306
25,662.19726509484,465692407.539307,265912686.082414
30,787.353759558897,516126370.961006,376167447.847827
35,1133.3349603798,572948422.375791,341228506.902354
45,895.216554399278,423764647.814026,354640366.563856
55,1065.71854709923,544149887.833248,269753328.45745
65,985.171434218068,607521012.143963,337116950.005692
