t,SFK_Obs,Compound_1_Obs
0,2.02387897234703e-09,1.07458656614174
10,3.34419042985371e-09,NaN
25,7.24800985273381e-09,NaN
30,NaN,1.0078908331057
35,-1.9510022856926e-09,NaN
50,-2.46184646430226e-09,NaN
60,NaN,1.10155467794619
65,-1.06333372896983e-08,NaN
85,5.60300875487138e-09,NaN
90,NaN,1.19741255103637
100,7.18027060254256e-10,NaN
150,1.05221133536575e-07,1.02193978562295
200,4.47687252754006e-07,0.941251084243467
250,NaN,0.942933778141576
300,NaN,1.00222223709083
400,NaN,1.0530282940465
500,NaN,1.0564878660063
600,NaN,1.08261936637365
