t,SFK_Obs,Compound_1_Obs
0,0.000384421774799417,0.990991067902349
25,9.18442534257132e-06,0.915207457588783
50,1.35659523386589e-05,NaN
55,NaN,0.877456304904755
80,9.99731369641169e-06,0.893456237272012
100,1.20840656488514e-05,0.897543282399705
150,1.31354406803331e-05,0.847732212535257
200,1.35429414291479e-05,0.709172255257109
250,1.72360568422023e-05,0.845954063657949
300,1.94293147993365e-05,NaN
350,1.79197351542208e-05,0.645034710451412
400,1.72939360782452e-05,0.636213684548646
500,2.59921588399082e-05,0.383662885951519
600,4.17009034726417e-05,0.353658667008492
