t,SFK_Obs,Compound_1_Obs
0,2.92556593584549e-10,0.915174834298758
25,2.9462584992364e-10,1.13168493290547
50,2.63915486590713e-10,NaN
55,NaN,1.05720436542641
80,2.46140001566665e-10,1.04225861191933
100,2.4872214095935e-10,1.1682417591998
150,2.78620029754626e-10,1.15683273642983
200,2.41293152287276e-10,0.953585163402794
250,2.65277945457152e-10,1.12595819181166
300,2.72971242490258e-10,1.03668095666809
350,2.58494905041363e-10,1.01216260306166
450,2.83932098915637e-10,1.18393044126768
550,2.70598557998756e-10,1.113084446224
