t,SFK_Obs,Compound_1_Obs
0,0.000391829031688324,0.911530599796542
25,0.000262061947404549,NaN
30,NaN,0.986407477136513
55,0.000305711349730479,NaN
60,NaN,1.01862868598336
80,0.000300381355968439,NaN
90,NaN,1.02271543866238
100,0.000349992410391821,1.01937047841879
150,0.000302468074997056,1.03277816167078
200,0.000340498262682683,0.966452076345571
250,0.000359610423529307,0.942364574098006
300,NaN,0.834950016412974
350,0.000367310944188635,1.0788980154442
400,0.000396061884377507,NaN
450,NaN,0.971362287414909
550,NaN,0.973951986493523
