t,Reelin_input,SFK_Obs,Compound_1_Obs
16,0,0.000392231707556049,1.0561552071718
16,0.00012207,0.000386093834046622,0.973477721380598
16,0.00024414,0.000367231579075607,1.0507670449565
16,0.00048828,0.000379291498926454,0.998313533289918
16,0.00097656,0.000359837398089304,0.89667367104764
16,0.0019531,0.000350270878883688,1.04641458789657
16,0.0039062,0.000325464157899084,0.869127657328859
16,0.0078125,0.00025762823811281,1.10110580420528
16,0.015625,0.000214173744724618,1.05150953274222
16,0.03125,0.000129240132235764,1.0236506474181
16,0.125,7.41493972872575e-05,1.05956374670942
16,0.25,2.22391397097208e-05,1.02154665084235
16,0.5,1.40629793822942e-05,1.08995221779055
16,1,1.41715166777381e-05,0.930050006289366
