t,nSTAT5_Obs,npSTAT5_Obs,CISHnRNA3_Obs,CISHRNA_Obs,SOCS3RNA_Obs
0,-0.0191192467111957,0.0845979233345191,0.000691461211195191,0.000606433298949532,0.0182705802516154
9.5,1.0246458097443,4.08943582513526,NaN,NaN,NaN
10,NaN,NaN,0.000984206039269434,NaN,0.0222719928915653
15,NaN,NaN,NaN,0.00034089146196287,NaN
20,3.61331554283245,6.74360884724146,NaN,NaN,NaN
25,NaN,NaN,0.0125920814720597,0.00108418276697338,0.0219425925789259
30,4.23740954604031,6.19911927260968,NaN,NaN,NaN
35,NaN,NaN,0.025003467590567,NaN,0.0296469973075324
40,3.71915510973877,4.97956253841516,NaN,0.00654401300500375,NaN
45,NaN,NaN,NaN,NaN,0.0489975503595544
50,NaN,NaN,0.0352115720018095,NaN,NaN
55,2.58447494632327,3.24041501225958,NaN,0.0213401171042299,NaN
60,NaN,NaN,NaN,NaN,0.0768337584272067
65,1.84743873184348,2.34792283903349,0.0337878846864548,NaN,NaN
70,NaN,NaN,NaN,0.0381820651659415,NaN
75,NaN,NaN,NaN,NaN,0.0951843439504553
80,NaN,1.44077762979248,NaN,NaN,NaN
85,0.990704401906188,NaN,0.022806167935841,NaN,NaN
90,NaN,NaN,NaN,0.0553931691401576,NaN
95,NaN,NaN,NaN,NaN,0.0871367697418977
100,0.666898077538726,0.774622679119804,0.0158203616419682,0.0570490437997223,0.0845198872659756
150,0.347730198143055,0.504847414266858,0.00484825306920086,0.0363227333835949,0.038076093087076
200,0.377822743001134,0.595922369185761,0.00455478730066865,0.0176923371745332,0.0284520444165496
250,NaN,NaN,NaN,0.0129723907031976,NaN
