t,npSTAT5_Obs,CISHnRNA3_Obs,CISHRNA_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,-0.0124014766432689,0.000434986989417096,0.000896190820322472,0.00499108461631127,0.96375579524567
10,NaN,NaN,NaN,NaN,2.80889498205318
15,1.13576594136541,NaN,NaN,0.0191242779082766,NaN
20,NaN,NaN,NaN,NaN,2.91433714006746
25,NaN,0.00197055131512781,0.000889439076720072,NaN,NaN
30,0.694115666086354,NaN,NaN,0.0110253607112907,1.89017151643077
45,0.508435911580866,NaN,NaN,NaN,1.42548679361198
50,NaN,0.00243145602869794,0.00125027076782721,0.00652211016977951,NaN
60,NaN,NaN,NaN,NaN,1.08926640185285
65,0.360404076780575,NaN,NaN,0.00645216330034925,NaN
75,NaN,0.00168063721904315,NaN,NaN,1.02548392833778
80,NaN,NaN,0.00206153350291119,NaN,NaN
85,0.271125941772094,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,0.0050333822526773,NaN
95,NaN,NaN,NaN,NaN,1.00074813448392
100,0.218797340414574,0.00120953148476658,0.00234310536149805,0.00557344392483375,1.01164056425586
150,0.152852424959945,0.000899298889549319,0.00225280119992316,0.005659262765877,0.988386227816541
200,0.116162028745501,0.000838232880526027,0.00206579989361138,0.0053037190446135,NaN
250,0.133297900847489,0.000821852808629108,0.0018518886554964,NaN,NaN
300,NaN,NaN,0.00159302147869457,NaN,NaN
350,NaN,0.000657137908683693,0.00146659212592516,NaN,NaN
400,NaN,0.0007378647961676,NaN,NaN,NaN
450,NaN,NaN,0.00139891890487232,NaN,NaN
