t,nSTAT5_Obs,npSTAT5_Obs,CISHnRNA3_Obs,CISHRNA_Obs,SOCS3RNA_Obs
0,-8.86269392456681e-05,0.000123661241930579,0.000475880992472508,0.00107380551432093,0.0201243916224152
10,NaN,0.00259642803314267,NaN,NaN,NaN
15,0.00249416242198723,NaN,0.000440863569484526,0.00108843253345656,0.0196104042442279
25,NaN,0.0192010708422994,NaN,NaN,NaN
35,0.0134333748086134,0.0213353194466331,0.000493126876676293,0.00110191288895721,0.020112763491865
50,0.0120385655503366,0.0170141660080371,NaN,NaN,NaN
55,NaN,NaN,0.000541117279353379,0.00115362606850392,0.0193686010274618
65,NaN,0.0123960712040027,NaN,NaN,NaN
70,0.00841607654332898,NaN,NaN,NaN,NaN
75,NaN,NaN,0.000569649079968695,0.00118482658399052,0.0195554426258925
85,NaN,0.00852680986592567,NaN,NaN,NaN
95,0.00527113730151001,NaN,NaN,0.00126590636381142,NaN
100,0.00498139966885769,0.00673989459324128,0.000545485718003356,0.00126931491001509,0.0198407251696657
150,0.00297926084340217,0.00436757927465914,0.000502036759045499,0.00127868813986477,0.0198265101379691
200,0.00266568960635814,0.00381940567551366,0.000487356907044381,0.00117014756514477,0.0195934107649042
250,0.00239881406176067,NaN,0.000474990301619281,0.00118475275284925,0.0200557681476112
300,NaN,NaN,NaN,0.00114919497139404,NaN
