t,PTP_Obs,npSTAT5_Obs,CISHnRNA3_Obs,CISHRNA_Obs,CIS_Obs,SOCS3RNA_Obs
0,1.53459767714922,-0.00211506697821886,0.00046491638392907,0.000927322450673573,0.357925706103529,0.00510482154374488
15,1.54000602566986,1.16133980927045,NaN,NaN,0.374987710323774,0.0186029477186087
25,1.55153014429173,NaN,0.0019966246323258,0.000817443228314305,NaN,0.0128252933985254
30,NaN,0.716965746242902,NaN,NaN,0.347835958409752,NaN
40,1.51093519849693,NaN,NaN,NaN,NaN,0.00820545819834411
45,NaN,0.510981971891988,NaN,NaN,0.35651055512123,NaN
50,NaN,NaN,NaN,0.00131931139448362,NaN,NaN
55,1.58598089184487,NaN,0.00231122042088545,NaN,NaN,NaN
60,NaN,0.377420243830396,NaN,NaN,NaN,0.00626573400364684
65,NaN,NaN,NaN,NaN,0.393250782194795,NaN
75,1.46096746689519,NaN,NaN,NaN,NaN,0.00546217997280378
80,NaN,0.299597122072302,0.00164450286592182,0.00219830016753938,NaN,NaN
85,NaN,NaN,NaN,NaN,0.476958099096675,NaN
95,1.58303660883526,NaN,NaN,NaN,NaN,NaN
100,1.54037050321949,0.213808549466492,0.00130316832940411,0.00235669401032878,0.548290021160047,0.00549192096564401
150,1.55132218816948,0.15156791512728,0.000931859168117966,0.00231993574402351,0.705734474750324,0.00493336034980771
200,1.58813507982023,0.126573255094583,0.000826096593852745,0.00208335279186323,0.758436835775284,NaN
250,1.5325845388528,0.113767954404607,0.00077217635336304,0.00179893700672206,NaN,NaN
300,NaN,NaN,0.000743860626119895,0.00165815054820034,NaN,NaN
350,NaN,NaN,NaN,0.00158165678264962,NaN,NaN
400,NaN,NaN,0.00066109105970773,NaN,NaN,NaN
450,NaN,NaN,NaN,0.00136393911109471,NaN,NaN
