t,PTP_Obs,nSTAT5_Obs,npSTAT5_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,15.1923638237534,-0.0513850955832802,-0.00152701028002759,0.000172162026118403,0.000106116665943436,0.000181433670216483,0.639334482830217,0.0248121580151904,0.0273442175786019,0.0282913903077419,0.0288012341844945,0.0198448284106082,3.63930618864023
15,14.541220798101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,3.59616666891531,NaN,0.00578425321412215,NaN,NaN,NaN,NaN,NaN,0.0522806393638765,NaN,0.0208312271026055,3.94731419678228
25,14.1982739817709,NaN,6.64240165776642,NaN,NaN,NaN,NaN,0.163889511554199,0.11778253930153,NaN,0.0472286918605368,NaN,NaN
30,NaN,NaN,NaN,NaN,0.00446008444660112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,4.06085549764023,NaN,NaN,NaN,0.00420488970408075,0.635761228971361,NaN,NaN,NaN,NaN,NaN,NaN
40,14.9686360384981,NaN,NaN,0.0300785051246834,NaN,NaN,NaN,NaN,NaN,0.132780075201019,NaN,NaN,NaN
45,NaN,NaN,4.32995736404636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0474527652607299,8.93279839896803
50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.153232000294475,NaN,0.13395150556051,NaN,NaN
55,14.2914929669474,2.62630590958681,NaN,NaN,NaN,NaN,NaN,0.127889099260484,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,0.035231606716069,0.0280578611053856,NaN,NaN,NaN,NaN,0.144559540828667,NaN,NaN,NaN
70,14.1776784556645,NaN,NaN,NaN,NaN,0.0389820010986078,2.64235423287289,NaN,NaN,NaN,NaN,0.089633467957604,16.5153858923901
75,NaN,NaN,1.62521394953007,NaN,NaN,NaN,NaN,NaN,0.102414462186933,NaN,NaN,NaN,NaN
80,NaN,1.14600477836985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.126755786678337,NaN,NaN
85,NaN,NaN,NaN,0.0234576086979113,NaN,NaN,NaN,0.0706910119244615,NaN,0.0994396395775033,NaN,NaN,NaN
90,14.9634457672233,NaN,NaN,NaN,0.0286860982825665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,14.7387032192825,0.640807594337252,0.734515203151832,0.0161650506458279,NaN,0.05759354005075,6.95271092308318,0.0545601029406658,0.0630921183851452,0.075901860600683,0.0902558237612426,0.0831389214109484,15.1694907753596
150,14.7417834871585,0.279546282720264,0.511481035398326,0.00489448824882887,0.00758671219292447,0.0360442962117979,11.8404177127215,0.0398776762164873,0.0412320166296749,0.0425214801377117,0.0462328803500772,0.0382280245917683,7.40233221997177
200,14.4132293368479,0.346625932752028,0.579996167300201,0.00375903747362971,0.00466048157426841,0.0167475460304679,11.2268448889623,0.039483817353132,0.0404418865228003,0.0412559749447435,0.0383797359058741,0.028832431263167,5.44601676691394
250,NaN,0.4146099675093,0.546567274772348,0.00463108956902254,0.00461590946134718,0.0119082834577869,9.16089208313922,0.0411023004608422,0.0411222907886054,0.0412343588936431,0.0411517966548255,0.0292472387102335,5.3345372203024
300,NaN,NaN,0.468901892529752,NaN,NaN,0.0112822603766593,7.82337065661196,NaN,0.0390137032758087,NaN,0.0379106753576734,NaN,NaN
350,NaN,NaN,NaN,NaN,0.00414630534892679,NaN,6.474792622383,0.0388492966970351,NaN,NaN,NaN,NaN,NaN
400,NaN,NaN,0.380189157709965,NaN,NaN,0.00965116320182367,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450,NaN,NaN,NaN,NaN,NaN,NaN,5.03780247735805,NaN,NaN,NaN,NaN,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,0.00881057626342736,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550,NaN,NaN,NaN,NaN,NaN,NaN,3.93119398055783,NaN,NaN,NaN,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,NaN,NaN,3.8328417916587,NaN,NaN,NaN,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,NaN,NaN,3.61579608405827,NaN,NaN,NaN,NaN,NaN,NaN
