t,nSTAT5_Obs,SOCS3nRNA1_Obs
0,-0.0422397183491101,0.00133547649222343
20,NaN,0.0022624609270799
25,6.5661961444254,NaN
40,NaN,0.00162912789533071
55,3.13693247421481,NaN
65,NaN,0.00137932442362824
85,1.98554123124395,NaN
90,NaN,0.00138163526131091
100,1.58502400811056,0.00134068037740811
150,1.09655015053241,0.00125954458627051
200,0.850418017351753,0.0012066822732608
250,0.794879195969581,NaN
300,0.655621848808831,NaN
350,0.735828242102951,NaN
400,0.559384568870156,NaN
500,0.660471773247291,NaN
