t,PTP_Obs,CISHnRNA3_Obs,CISHRNA_Obs,CIS_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,15.18040352821,0.000975345450294318,0.000832774790975216,0.395541052482508,0.0182758483871204,3.23850013893528
4.5,14.9641469799339,NaN,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,0.469920721488826,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,4.14531752849473
9,14.7848783511374,0.000896289567372968,NaN,NaN,0.023600000395196,NaN
10,NaN,NaN,0.000662577326648346,0.506737411945985,NaN,NaN
15,14.7479179709051,NaN,NaN,NaN,NaN,3.9944486604821
20,14.8388060666187,0.00699680016144478,0.00154255129551436,0.274523812890162,0.019910358260084,NaN
25,13.7241867083263,NaN,NaN,0.38489952833984,NaN,3.98482691125774
30,15.6067454804065,0.0190977864397196,NaN,0.421783742703369,0.0238650987170255,3.94512757142411
35,NaN,NaN,0.00682404322858992,NaN,NaN,NaN
40,14.416064131411,0.0308833178722332,NaN,0.626466060162683,0.0370945887443608,6.80011651548772
45,NaN,NaN,0.0107139150504193,NaN,NaN,NaN
50,14.8993362826997,0.0352898263533011,NaN,0.958828809987992,0.0587246827873133,10.3942470939784
60,14.1348671616591,NaN,0.0261285142038721,1.62136472686072,0.0794081125970049,NaN
65,NaN,0.0340960369765885,NaN,NaN,NaN,15.069568811164
75,15.6397383510471,NaN,0.0444228371887824,3.25181532963139,0.0940161009184741,NaN
80,NaN,0.02583395548671,NaN,NaN,NaN,16.9601758735502
90,NaN,NaN,NaN,5.49715199803466,NaN,NaN
95,NaN,NaN,0.0559665840360082,NaN,0.0875421323511345,NaN
100,NaN,0.0158916205681257,0.0563708507504151,7.0369444211775,0.0791666211452571,15.281198382561
150,NaN,0.00551333456750618,0.0358162403909512,NaN,0.0385252714981812,7.1043123728164
200,NaN,NaN,0.0171835006832207,NaN,NaN,NaN
