t,epo_level,CISHnRNA3_Obs,CISHRNA_Obs
8,2.5e-09,0.000427156530583332,0.00109494479711387
8,2.5e-09,0.000445518405703408,0.00109872942941822
8,2.5e-09,0.000469659689463809,0.00105638751263999
8,2.5e-08,0.000425244982745722,0.00111943601781092
8,2.5e-08,0.000427417001342559,0.00109494384135898
8,2.5e-08,0.000483422914352233,0.00106150662024937
8,2.5e-07,0.000653421858531335,0.00108240318919521
8,2.5e-07,0.000666799239854107,0.00110190756276008
8,2.5e-07,0.000706919517077704,0.00111598626189353
8,2.5e-06,0.00131830563733711,0.00110033117752134
8,2.5e-06,0.0013409455333875,0.00107950599826423
8,2.5e-06,0.00134300805545394,0.0010913175718145
8,2.5e-05,0.00155239032318954,0.00105232884606942
8,2.5e-05,0.00156087657370153,0.00109538062247753
8,2.5e-05,0.00158071240395442,0.00107901079712765
