t,epo_level,PTP_Obs,CIS_Obs
140,2.5e-09,15.111462386433,10.5828396837389
140,2.5e-09,14.6595606349637,11.2460034051717
140,2.5e-09,14.3110886796829,11.1007313898885
140,2.5e-08,15.3623126712736,20.3470278721044
140,2.5e-08,15.1949979687059,19.8085549000777
140,2.5e-08,14.9656907286188,20.3742036888121
140,1.25e-07,13.3658630694895,14.5098618356769
140,1.25e-07,15.2237560335642,14.8284069097588
140,1.25e-07,15.1169942798124,14.5772302729248
140,2.5e-07,14.9883242803847,4.60201234115228
140,2.5e-07,16.3403057643665,4.45401717106159
140,2.5e-07,15.0870180745444,4.88783838197144
140,2.5e-06,14.9252211062211,0.724604265567574
140,2.5e-06,13.9008714419927,1.42380508343039
140,2.5e-06,14.0834793405982,0.754249149560347
