t,PTP_Obs,npSTAT5_Obs,CISHnRNA3_Obs,CISHRNA_Obs,CIS_Obs,SOCS3RNA_Obs
0,15.5612356673894,-0.000771899320286455,0.000442158352257768,0.00108807502450406,0.438286717837668,0.0203214502993908
5.5,13.6895754600229,NaN,NaN,NaN,NaN,NaN
10,14.316055852938,0.002938881038393,NaN,NaN,NaN,NaN
15,NaN,NaN,0.000450981265781966,0.00107391541750724,0.462236633298193,0.0200320986581754
20,14.7481103290458,NaN,NaN,NaN,NaN,NaN
25,14.4199064349592,0.0199290329452194,NaN,NaN,0.450269483425083,NaN
30,NaN,NaN,NaN,NaN,NaN,0.0199609362582559
35,15.5779147950327,0.0212099999913097,0.00049379637037787,0.00102925682307242,NaN,NaN
40,14.9568914421514,NaN,NaN,NaN,0.439240102459832,NaN
45,NaN,NaN,NaN,NaN,NaN,0.0183926971263487
50,14.4037428995827,0.0164517080087659,0.000545441022194951,NaN,NaN,NaN
55,NaN,NaN,NaN,0.00108879704102192,NaN,NaN
60,NaN,NaN,NaN,NaN,0.415152030262142,NaN
65,15.267436495663,0.0117281062948172,NaN,NaN,NaN,0.0197390159657595
70,NaN,NaN,0.00056923211764881,NaN,NaN,NaN
75,NaN,NaN,NaN,0.00120619243147396,0.447136361291627,NaN
80,15.1959091083218,0.009067543936536,NaN,NaN,NaN,0.0196189995564198
95,NaN,NaN,0.000537524228298554,0.00125427230081888,NaN,NaN
100,NaN,0.00674039518353469,0.000538954699941178,0.00119365224591814,0.476165641876858,0.0199857404252722
150,NaN,0.00418197626681395,0.000503848393137711,0.00121299046455687,0.507087438996816,0.0200189477317561
200,NaN,0.00384371036023409,0.00050051563318269,0.00113995071456346,0.493887475019858,0.019990995260265
250,NaN,NaN,0.000479075533141107,0.00117927010904362,NaN,0.0202706979170299
300,NaN,NaN,NaN,0.00118711384113202,NaN,NaN
