t,CISHnRNA3_Obs,CISHRNA_Obs,SOCS3RNA_Obs
0,0.000484278546347413,0.000894685331022158,0.00548209395005892
7,NaN,NaN,0.00534214278955653
15,NaN,0.00081944094688616,0.00532198824246398
20,0.000494380464682435,NaN,0.00540654976742722
30,NaN,0.000835801864481368,0.00529631756772412
40,0.000525041216979686,NaN,0.00513800408259004
50,NaN,0.00087153416593639,NaN
55,NaN,NaN,0.00567978077214116
65,0.000479838400302918,0.000943006778419219,0.0054077992353221
85,NaN,0.000955270691778032,0.00568794317130817
90,0.00048592243236839,NaN,NaN
100,0.000486088702104966,0.000909159537153339,NaN
150,0.000495523839527763,0.000852862100665338,NaN
200,0.000456882403882185,0.000897866237440996,NaN
250,0.000465719624388568,0.000923194681200873,NaN
300,0.000455143209579349,0.00088961610193976,NaN
