t,epo_level,SOCS3RNA_Obs
14,2.5e-09,0.0200316460195091
14,7.905e-09,0.0196225215771215
14,7.905e-09,0.0198561641777236
14,7.905e-09,0.0200460499099022
14,1.25e-08,0.0191978934036832
14,1.25e-08,0.0200014198968864
14,1.25e-08,0.0200080714492244
14,1.75e-08,0.0192259674475206
14,1.75e-08,0.0197598202445677
14,1.75e-08,0.0203454227440069
14,2.5e-08,0.0193041374297057
14,2.5e-08,0.019712161075082
14,2.5e-08,0.0202623025021267
14,3.95e-08,0.0196566856478909
14,3.95e-08,0.0199602104571085
14,3.95e-08,0.0199830227155561
14,7.9e-08,0.0193362870131439
14,7.9e-08,0.0204595173149432
14,7.9e-08,0.020696802792835
14,1.25e-07,0.019400809651804
14,1.25e-07,0.0201650112715383
14,1.25e-07,0.02035318935329
14,1.7675e-07,0.0214177935367071
14,2.5e-07,0.0194797449667536
14,7.905e-07,0.0199420387473907
14,2.5e-06,0.0212767435664237
