t,epo_level,CISHnRNA3_Obs,CISHRNA_Obs
16,2.5e-09,0.000273151517317872,0.0011051972096207
16,2.5e-09,0.000424470706917374,0.00107558218553047
16,2.5e-09,0.000586253807312556,0.00110991378805989
16,2.5e-08,0.000792058894682854,0.00107238013771359
16,2.5e-08,0.000954788161777689,0.00111696739154342
16,2.5e-08,0.000992283043796334,0.00107555445203646
16,1.25e-07,0.00299126095642129,0.00112025134820172
16,1.25e-07,0.00303817565533603,0.00109046695913937
16,1.25e-07,0.00340131239853723,0.00109512155722927
16,2.5e-07,0.00509751194118368,0.00111835683259493
16,2.5e-07,0.00513115472755576,0.00113608686563839
16,2.5e-07,0.00521778689265149,0.00112129621640255
16,1.25e-06,0.00925852197990713,0.00118347164160279
16,1.25e-06,0.00930203492150516,0.00118089886534422
16,1.25e-06,0.00957634100771552,0.00116216887820394
16,2.5e-06,0.0100148838453636,0.00113429493091006
16,2.5e-06,0.0100971245367927,0.00124949785438586
16,2.5e-06,0.0103545182095498,0.00117158535871941
